tanggal,judul,link
2020-10-23,[SALAH] “Pendataan Imunisasi COVID-19 untuk Tenaga Medis dan Non Medis oleh Dinas Kesehatan Provinsi DKI Jakarta”,https://covid19.go.id/p/hoax-buster/salah-pendataan-imunisasi-covid-19-untuk-tenaga-medis-dan-non-medis-oleh-dinas-kesehatan-provinsi-dki-jakarta
2020-10-21,"[SALAH] “Bioskop XXI Kembali Dibuka, Penonton Wajib Keluar Studio Tiap Jeda 30 Menit untuk Hirup Udara Segar!”",https://covid19.go.id/p/hoax-buster/salah-bioskop-xxi-kembali-dibuka-penonton-wajib-keluar-studio-tiap-jeda-30-menit-untuk-hirup-udara-segar
2020-10-20,[SALAH] Situs Formulir Online BANPRES oleh Kementrian Koperasi dan UKM,https://covid19.go.id/p/hoax-buster/salah-situs-formulir-online-banpres-oleh-kementrian-koperasi-dan-ukm
2020-10-20,[SALAH] Jenazah Pasien Covid-19 Dikubur Masih Pakai Daster dan Tidak Sesuai Syariat Fardhu Kifayah Islam,https://covid19.go.id/p/hoax-buster/salah-jenazah-pasien-covid-19-dikubur-masih-pakai-daster-dan-tidak-sesuai-syariat-fardhu-kifayah-islam
2020-10-20,"[SALAH] “Corona Mereda, Luhut Mau Tentara Cina Segera Masuk Lagi ke Indonesia”",https://covid19.go.id/p/hoax-buster/salah-corona-mereda-luhut-mau-tentara-cina-segera-masuk-lagi-ke-indonesia
2020-10-19,[SALAH] Pelaksanaan Wisuda UIN Imam Bonjol Padang Angkatan 83 dan 84 Tahun 2020,https://covid19.go.id/p/hoax-buster/salah-pelaksanaan-wisuda-uin-imam-bonjol-padang-angkatan-83-dan-84-tahun-2020
2020-10-19,[SALAH] Vaksin COVID-19 Dapat Mengubah DNA Manusia,https://covid19.go.id/p/hoax-buster/salah-vaksin-covid-19-dapat-mengubah-dna-manusia
2020-10-18,[SALAH] Memakai Masker Dapat Menyebabkan Kematian Akibat Keracunan Karbon Dioksida (CO2),https://covid19.go.id/p/hoax-buster/salah-memakai-masker-dapat-menyebabkan-kematian-akibat-keracunan-karbon-dioksida-co2
2020-10-18,[SALAH] “TERNYATA SUDAH 10 hari PENDEMO tidak ada yang kena COVID 19”,https://covid19.go.id/p/hoax-buster/salah-ternyata-sudah-10-hari-pendemo-tidak-ada-yang-kena-covid-19
2020-10-17,[SALAH] Presiden Donald Trump Meninggal Dunia karena COVID-19,https://covid19.go.id/p/hoax-buster/salah-presiden-donald-trump-meninggal-dunia-karena-covid-19
2020-10-16,"[SALAH] Donald Trump: “Darahku adalah vaksinnya!!!,”",https://covid19.go.id/p/hoax-buster/salah-donald-trump-darahku-adalah-vaksinnya
2020-10-16,[SALAH] Perusakan Alat Musik Ketipung oleh Petugas Polri saat Pembubaran Pertunjukan Musik di Klaten,https://covid19.go.id/p/hoax-buster/salah-perusakan-alat-musik-ketipung-oleh-petugas-polri-saat-pembubaran-pertunjukan-musik-di-klaten
2020-10-16,[SALAH] Dinkes Bantul Keluarkan Surat Penutupan Sementara KYKU Production Sablon,https://covid19.go.id/p/hoax-buster/salah-dinkes-bantul-keluarkan-surat-penutupan-sementara-kyku-production-sablon
2020-10-16,[SALAH] MUI Larang Penggunaan Vaksin Covid-19 yang Didatangkan dari Tiongkok,https://covid19.go.id/p/hoax-buster/salah-mui-larang-penggunaan-vaksin-covid-19-yang-didatangkan-dari-tiongkok
2020-10-15,[SALAH] Harga Vaksin di Indonesia 1000% Lebih Mahal Daripada di Brazil,https://covid19.go.id/p/hoax-buster/salah-harga-vaksin-di-indonesia-1000-lebih-mahal-daripada-di-brazil
2020-10-15,[SALAH] COVID-19 Tidak Membuat Orang Meninggal Dunia,https://covid19.go.id/p/hoax-buster/salah-covid-19-tidak-membuat-orang-meninggal-dunia
2020-10-14,[SALAH] Foto Dokter Menyatakan COVID-19 Disebarkan Melalui Vaksin,https://covid19.go.id/p/hoax-buster/salah-foto-dokter-menyatakan-covid-19-disebarkan-melalui-vaksin
2020-10-13,[SALAH] Pemimpin Masyarakat Adat Asli Amerika Dikorbankan Sebagai Persembahan Selama Epidemi,https://covid19.go.id/p/hoax-buster/salah-pemimpin-masyarakat-adat-asli-amerika-dikorbankan-sebagai-persembahan-selama-epidemi
2020-10-12,"[SALAH] Video Polisi Menangkap Seorang Pria karena Mengikuti Ibadah Gereja di Idaho, Amerika Serikat",https://covid19.go.id/p/hoax-buster/salah-video-polisi-menangkap-seorang-pria-karena-mengikuti-ibadah-gereja-di-idaho-amerika-serikat
